comparison_type,parcel_id,map,block,lot,current_sale_price,current_sale_date,current_qualified,current_book_page,prior1_sale_price,prior1_sale_date,prior1_book_page,prior2_sale_price,prior2_sale_date,prior2_book_page,prior3_sale_price,prior3_sale_date,prior3_book_page,data_quality_notes
CORRECTED_COMPREHENSIVE,91-197,91,197,,0.0,2021-09-22,U,4669/619,26647.0,2021-09-02,4665/42,26647.0,2006-12-01,3354/0227,410000.0,2002-01-25,02626/0676,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-198,91,198,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1992-07-30,1981/0102,300000.0,1988-11-07,01772/0324,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-198,91,198,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1988-11-07,01772/0324,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-199,91,199,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1992-07-30,1981/0102,300000.0,1988-11-07,01772/0324,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-199,91,199,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1988-11-07,01772/0324,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-200,91,200,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1992-07-30,1981/0102,300000.0,1988-11-07,01772/0324,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-200,91,200,,360000.0,1997-07-01,Q,2259/0101,300000.0,1992-08-03,01981/0102,300000.0,1988-11-07,01772/0324,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-201,91,201,,139000.0,2000-03-29,Q,2454/0143,121000.0,1990-01-03,01840/0426,121000.0,1989-12-29,1840/0426,121000.0,1988-06-23,01745/0909,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-201,91,201,,139000.0,2000-03-29,Q,2454/0143,121000.0,1990-01-03,01840/0426,121000.0,1988-06-23,01745/0909,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-202,91,202,,207900.0,2019-06-20,Q,4444/0059,129533.0,2004-09-15,3051/0636,129533.0,2003-05-27,02824/0569,22000.0,2003-05-15,2824/0569,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-202,91,202,,207900.0,2019-06-20,Q,4444/0059,129533.0,2004-09-15,3051/0636,129533.0,2003-05-27,02824/0569,22000.0,2003-05-15,2824/0569,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-203,91,203,,119000.0,2004-07-21,Q,3029/0372,0.0,1998-11-06,02353/0710,0.0,1998-10-26,2353/0710,0.0,1985-05-28,1545/0011,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-203,91,203,,119000.0,2004-07-21,Q,3029/0372,0.0,1998-11-06,02353/0710,0.0,1985-05-28,1545/0011,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-204,91,204,,126533.0,2013-10-24,U,4021/0323,126533.0,2013-07-09,3994/0870,126533.0,2013-03-26,0/0,0.0,2013-01-03,3946/0130,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-204,91,204,,126533.0,2013-10-24,U,4021/0323,126533.0,2013-07-09,3994/0870,126533.0,2013-03-26,0/0,0.0,2013-01-03,3946/0130,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-205,91,205,,318750.0,2020-09-15,Q,4555/16,318750.0,2020-09-15,4555/16,318750.0,1993-04-05,2020/0863,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-205,91,205,,318800.0,2020-09-16,nan,nan,318750.0,2020-09-15,4555/16,318750.0,1993-04-05,2020/0863,,,,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-206,91,206,,415000.0,2021-08-13,Q,4658/918,272250.0,2019-10-18,4474/0862,272250.0,2001-09-27,2586/0503,140000.0,2000-07-05,02471/0672,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-206,91,206,,415000.0,2021-08-13,Q,4658/918,272300.0,2019-10-21,nan,272250.0,2019-10-18,4474/0862,272250.0,2001-09-27,2586/0503,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-207,91,207,,270000.0,2022-03-16,Q,4714/724,76900.0,2001-09-27,2585/0508,76900.0,1999-06-29,02403/0709,60000.0,1999-06-29,2403/0709,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-207,91,207,,270000.0,2022-03-16,Q,4714/724,76900.0,2001-09-27,2585/0508,76900.0,1999-06-29,02403/0709,60000.0,1999-06-29,2403/0709,Comprehensive sales data from multiple sources - VALIDATED: 4 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-208,91,208,,156200.0,2014-07-18,Q,4071/0038,0.0,1982-09-30,1455/0810,0.0,1900-01-01,0/0,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-208,91,208,,156200.0,2014-07-18,Q,4071/0038,0.0,1982-09-30,1455/0810,0.0,1900-01-01,0/0,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-209,91,209,,0.0,1977-11-10,Q,1325/0366,0.0,1900-01-01,0/0,0.0,,nan,nan,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-209,91,209,,0.0,1977-11-10,Q,1325/0366,0.0,1900-01-01,0/0,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-210,91,210,,600000.0,2023-01-30,Q,4782/442,379066.0,2013-06-20,3989/0484,379066.0,2011-03-08,3780/0978,0.0,1977-10-27,1324/0445,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-210,91,210,,600000.0,2023-01-30,Q,4782/442,379066.0,2013-06-20,3989/0484,379066.0,2011-03-08,3780/0978,0.0,1977-10-27,1324/0445,Comprehensive sales data from multiple sources - VALIDATED: 3 sales cross-referenced with 4 sources
ORIGINAL_NHDRA,91-211,91,211,,1670000.0,2005-06-07,Q,3219/0002,1670000.0,2005-06-06,3219/0002,1670000.0,1989-08-08,01817/0468,273960.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-211,91,211,,1670000.0,2005-06-07,Q,3219/0002,1670000.0,1989-08-08,01817/0468,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 2 sources
ORIGINAL_NHDRA,91-212,91,212,,0.0,2012-07-12,Q,3899/0295,350000.0,1988-02-05,1724/0028,350000.0,1901-01-01,0/0,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-212,91,212,,0.0,2012-07-12,Q,3899/0295,350000.0,1988-02-05,1724/0028,350000.0,1901-01-01,0/0,,,,Comprehensive sales data from multiple sources - VALIDATED: 2 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-213,91,213,,0.0,2012-07-12,Q,3899/0295,0.0,1988-02-05,1724/0028,0.0,1901-01-01,0/0,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-213,91,213,,0.0,2012-07-12,Q,3899/0295,0.0,1988-02-05,1724/0028,0.0,1901-01-01,0/0,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-214,91,214,,375000.0,2017-03-17,Q,4273/0641,0.0,1984-08-30,1517/0969,0.0,1900-01-01,0/0,0.0,,nan,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-214,91,214,,375000.0,2017-03-17,Q,4273/0641,0.0,1984-08-30,1517/0969,0.0,1900-01-01,0/0,,,,Comprehensive sales data from multiple sources - VALIDATED: 1 sales cross-referenced with 3 sources
ORIGINAL_NHDRA,91-215,91,215,,0.0,2005-04-14,Q,3128/0001,0.0,2004-12-30,03093/0257,0.0,2004-12-30,03093/0248,0.0,2004-12-30,03093/0239,Original NHDRA flat file data
CORRECTED_COMPREHENSIVE,91-215,91,215,,0.0,2005-04-14,Q,3128/0001,0.0,2004-12-30,03093/0257,,,,,,,Comprehensive sales data from multiple sources - VALIDATED: 0 sales cross-referenced with 2 sources
